TIME,COUNTS
1781380696.0,2.0
1781380697.0,5.0
1781380698.0,3.0
1781380699.0,6.0
1781380700.0,6.0
1781380701.0,5.0
1781380702.0,8.0
1781380703.0,3.0
1781380704.0,3.0
1781380705.0,4.0
1781380706.0,10.0
1781380707.0,1.0
1781380708.0,8.0
1781380709.0,5.0
1781380710.0,5.0
1781380711.0,4.0
1781380712.0,5.0
1781380713.0,1.0
1781380714.0,3.0
1781380715.0,7.0
1781380716.0,3.0
1781380717.0,0.0
1781380718.0,4.0
1781380719.0,2.0
1781380720.0,6.0
1781380721.0,6.0
1781380722.0,4.0
1781380723.0,9.0
1781380724.0,6.0
1781380725.0,3.0
1781380726.0,6.0
1781380727.0,3.0
1781380728.0,4.0
1781380729.0,4.0
1781380730.0,3.0
1781380731.0,3.0
1781380732.0,2.0
1781380733.0,3.0
1781380734.0,1.0
1781380735.0,2.0
1781380736.0,4.0
1781380737.0,2.0
1781380738.0,1.0
1781380739.0,3.0
1781380740.0,3.0
1781380741.0,4.0
1781380742.0,4.0
1781380743.0,7.0
1781380744.0,2.0
1781380745.0,6.0
1781380746.0,5.0
1781380747.0,5.0
1781380748.0,8.0
1781380749.0,1.0
1781380750.0,6.0
1781380751.0,2.0
1781380752.0,4.0
1781380753.0,3.0
1781380754.0,3.0
1781380755.0,2.0
1781380756.0,1.0
1781380757.0,3.0
1781380758.0,1.0
1781380759.0,2.0
1781380760.0,4.0
1781380761.0,2.0
1781380762.0,4.0
1781380763.0,4.0
1781380764.0,4.0
1781380765.0,8.0
1781380766.0,0.0
1781380767.0,3.0
1781380768.0,1.0
1781380769.0,3.0
1781380770.0,4.0
1781380771.0,5.0
1781380772.0,6.0
1781380773.0,3.0
1781380774.0,2.0
1781380775.0,5.0
1781380776.0,2.0
1781380777.0,1.0
1781380778.0,3.0
1781380779.0,4.0
1781380780.0,2.0
1781380781.0,2.0
1781380782.0,4.0
1781380783.0,1.0
1781380784.0,5.0
1781380785.0,4.0
1781380786.0,4.0
1781380787.0,2.0
1781380788.0,4.0
1781380789.0,1.0
1781380790.0,2.0
1781380791.0,4.0
1781380792.0,5.0
1781380793.0,5.0
1781380794.0,7.0
1781380795.0,3.0
1781380796.0,3.0
1781380797.0,4.0
1781380798.0,2.0
1781380799.0,6.0
1781380800.0,3.0
1781380801.0,4.0
1781380802.0,1.0
1781380803.0,3.0
1781380804.0,3.0
1781380805.0,3.0
1781380806.0,2.0
1781380807.0,3.0
1781380808.0,3.0
1781380809.0,6.0
1781380810.0,3.0
1781380811.0,3.0
1781380812.0,4.0
1781380813.0,2.0
1781380814.0,1.0
1781380815.0,5.0
1781380816.0,1.0
1781380817.0,7.0
1781380818.0,6.0
1781380819.0,6.0
1781380820.0,7.0
1781380821.0,2.0
1781380822.0,3.0
1781380823.0,7.0
1781380824.0,3.0
1781380825.0,6.0
1781380826.0,5.0
1781380827.0,3.0
1781380828.0,2.0
1781380829.0,5.0
1781380830.0,2.0
1781380831.0,5.0
1781380832.0,1.0
1781380833.0,4.0
